Demt_6,Demt_5,Demt_4,Demt_3,Demt_2,Demt_1,Demt_0,Temp_6,Temp_5,Temp_4,Temp_3,Temp_2,Temp_1,Temp_0,Snmt_6,Snmt_5,Snmt_4,Snmt_3,Snmt_2,Snmt_1,Snmt_0,ETt_6,ETt_5,ETt_4,ETt_3,ETt_2,ETt_1,ETt_0,Rt_6,Rt_5,Rt_4,Rt_3,Rt_2,Rt_1,Rt_0,Wlt_6,Wlt_5,Wlt_4,Wlt_3,Wlt_2,Wlt_1,Wlt_0
0,0,0,9.259603266,73.69038145,145.0909293,218.8959943,-5.266153846,-6.550384615,-0.025769231,11.24769231,16.91846154,23.62042368,28.72961538,0.825353846,10.26929231,9.656615385,0,0,0,0,9.674861538,7.823215385,25.88187692,55.65926154,70.6971,96.19153077,72.29647692,6.854453846,16.08073846,39.56676923,34.99864615,56.96566154,57.72553846,41.40529231,152.66,152.1642857,151.9,151.6628571,152.3585714,153.41,166.1714286
0,0,9.259603266,73.69038145,145.0909293,218.8959943,206.9648624,-6.550384615,-0.025769231,11.24769231,16.91846154,23.62042368,28.72961538,25.01773137,10.26929231,9.656615385,0,0,0,0,0,7.823215385,25.88187692,55.65926154,70.6971,96.19153077,72.29647692,96.73223077,16.08073846,39.56676923,34.99864615,56.96566154,57.72553846,41.40529231,113.9744,152.1642857,151.9,151.6628571,152.3585714,153.41,166.1714286,167.9683333
0,9.259603266,73.69038145,145.0909293,218.8959943,206.9648624,59.84710861,-0.025769231,11.24769231,16.91846154,23.62042368,28.72961538,25.01773137,20.67423077,9.656615385,0,0,0,0,0,0,25.88187692,55.65926154,70.6971,96.19153077,72.29647692,96.73223077,50.45418462,39.56676923,34.99864615,56.96566154,57.72553846,41.40529231,113.9744,19.47224615,151.9,151.6628571,152.3585714,153.41,166.1714286,167.9683333,159.4566667
9.259603266,73.69038145,145.0909293,218.8959943,206.9648624,59.84710861,0,11.24769231,16.91846154,23.62042368,28.72961538,25.01773137,20.67423077,11.36576923,0,0,0,0,0,0,0.123815385,55.65926154,70.6971,96.19153077,72.29647692,96.73223077,50.45418462,25.79115385,34.99864615,56.96566154,57.72553846,41.40529231,113.9744,19.47224615,43.98695385,151.6628571,152.3585714,153.41,166.1714286,167.9683333,159.4566667,157.2214286
73.69038145,145.0909293,218.8959943,206.9648624,59.84710861,0,0,16.91846154,23.62042368,28.72961538,25.01773137,20.67423077,11.36576923,4.665423678,0,0,0,0,0,0.123815385,0.023515385,70.6971,96.19153077,72.29647692,96.73223077,50.45418462,25.79115385,11.05831538,56.96566154,57.72553846,41.40529231,113.9744,19.47224615,43.98695385,2.503876923,152.3585714,153.41,166.1714286,167.9683333,159.4566667,157.2214286,156.1966667
145.0909293,218.8959943,206.9648624,59.84710861,0,0,0,23.62042368,28.72961538,25.01773137,20.67423077,11.36576923,4.665423678,-2.677692308,0,0,0,0,0.123815385,0.023515385,1.766153846,96.19153077,72.29647692,96.73223077,50.45418462,25.79115385,11.05831538,5.135253846,57.72553846,41.40529231,113.9744,19.47224615,43.98695385,2.503876923,4.898461538,153.41,166.1714286,167.9683333,159.4566667,157.2214286,156.1966667,155.5771429
218.8959943,206.9648624,59.84710861,0,0,0,0,28.72961538,25.01773137,20.67423077,11.36576923,4.665423678,-2.677692308,-2.470769231,0,0,0,0.123815385,0.023515385,1.766153846,0.114092308,72.29647692,96.73223077,50.45418462,25.79115385,11.05831538,5.135253846,3.313146154,41.40529231,113.9744,19.47224615,43.98695385,2.503876923,4.898461538,2.595661539,166.1714286,167.9683333,159.4566667,157.2214286,156.1966667,155.5771429,155.045
206.9648624,59.84710861,0,0,0,0,0,25.01773137,20.67423077,11.36576923,4.665423678,-2.677692308,-2.470769231,-2.851153846,0,0,0.123815385,0.023515385,1.766153846,0.114092308,4.025723077,96.73223077,50.45418462,25.79115385,11.05831538,5.135253846,3.313146154,8.680669231,113.9744,19.47224615,43.98695385,2.503876923,4.898461538,2.595661539,7.591384615,167.9683333,159.4566667,157.2214286,156.1966667,155.5771429,155.045,154.57
59.84710861,0,0,0,0,0,0,20.67423077,11.36576923,4.665423678,-2.677692308,-2.470769231,-2.851153846,6.190039063,0,0.123815385,0.023515385,1.766153846,0.114092308,4.025723077,0.120861538,50.45418462,25.79115385,11.05831538,5.135253846,3.313146154,8.680669231,23.23080769,19.47224615,43.98695385,2.503876923,4.898461538,2.595661539,7.591384615,59.52247692,159.4566667,157.2214286,156.1966667,155.5771429,155.045,154.57,154.03
0,0,0,0,0,0,9.801128075,11.36576923,4.665423678,-2.677692308,-2.470769231,-2.851153846,6.190039063,14.97384615,0.123815385,0.023515385,1.766153846,0.114092308,4.025723077,0.120861538,0,25.79115385,11.05831538,5.135253846,3.313146154,8.680669231,23.23080769,43.92736154,43.98695385,2.503876923,4.898461538,2.595661539,7.591384615,59.52247692,16.42289231,157.2214286,156.1966667,155.5771429,155.045,154.57,154.03,155.0614286
0,0,0,0,0,9.801128075,71.18562177,4.665423678,-2.677692308,-2.470769231,-2.851153846,6.190039063,14.97384615,14.95115385,0.023515385,1.766153846,0.114092308,4.025723077,0.120861538,0,0,11.05831538,5.135253846,3.313146154,8.680669231,23.23080769,43.92736154,74.54068462,2.503876923,4.898461538,2.595661539,7.591384615,59.52247692,16.42289231,95.39987692,156.1966667,155.5771429,155.045,154.57,154.03,155.0614286,154.1657143
0,0,0,0,9.801128075,71.18562177,142.0893907,-2.677692308,-2.470769231,-2.851153846,6.190039063,14.97384615,14.95115385,23.40846154,1.766153846,0.114092308,4.025723077,0.120861538,0,0,0,5.135253846,3.313146154,8.680669231,23.23080769,43.92736154,74.54068462,70.67450769,4.898461538,2.595661539,7.591384615,59.52247692,16.42289231,95.39987692,65.08356923,155.5771429,155.045,154.57,154.03,155.0614286,154.1657143,158.5457143
