Observed,Predicted
2369.593,1363.4156235633704
1376.543,1430.475657014815
1501.676,1893.755251196636
2507.669,3167.5489858876936
5104.599,4818.457886731527
5315.85,5300.635467846365
4076.267,4201.8868324594805
3450.045,3373.3788567506244
3338.644,3144.8842661171857
3248.723,2868.3640762464456
1874.929,2514.877249671992
1141.105,1620.5996006495295
1247.513,1314.7571943159394
1206.871,1428.9572933469726
1396.829,1817.0942195351217
2846.671,2605.789552397117
3316.569,4459.258922244113
6051.007,5414.672776154217
4541.5,4314.222794979783
3659.365,3496.357098884629
2307.476,2828.616621392669
1939.106,2242.6423413891152
2310.024,1924.4818978265093
1523.27,1691.5885381381754
1311.241,1365.86121130835
966.462,1409.0404383403747
1362.048,2059.1226049491656
2096.605,2972.4419196947542
3715.413,3768.7387730732203
5145.394,5328.796708502039
4056.158,4509.199392311457
3343.051,3234.5795269243094
2987.733,2960.5093574049783
1631.942,2426.8141259263393
1395.302,1719.2378183602373
1306.68,1400.6173895037678
1443.012,1365.5706246819695
1169.639,1557.4805272800527
1450.439,1748.5156953446624
3730.459,4033.352353603908
6373.905,6757.955925170088
5707.595,5252.364841556218
4268.991,3903.0669809695028
3569.001,3502.419320517995
2559.936,2947.4491769198867
2241.658,2685.1198703937557
3392.373,2889.33959102348
2115.618,1742.9253316505956
1136.502,1305.3169520841236
1345.274,1456.5696503674924
1285.847,1897.2451737991169
2434.775,2700.5001080482575
4041.861,4326.784979031445
6262.292,5700.187649443511
5187.456,5481.695841373541
3894.826,3261.661419940138
2747.761,2822.897077553943
2614.677,2624.3163262775224
3593.629,2632.5437503048724
2829.915,1845.3058846599
