Observed,Predicted
2176.0,2272.4554656592954
2485.0,2349.8320852839333
2593.0,2171.656295310224
2672.0,2302.936445699556
2870.0,2442.1398957696115
2945.0,2474.7086440097546
3017.0,2607.450246001339
3125.0,2627.102686136129
3207.0,2617.0679990585604
3222.0,2518.8747779063406
3153.0,2587.7888260640975
2996.0,2538.439001815702
2785.0,2336.4346271821155
2661.0,2269.8869780452724
2837.0,2174.4411594571857
3493.0,2344.41063284733
4253.0,2496.178761226626
4524.0,3212.809295579808
4565.0,3431.878989707725
4279.0,3249.163636973569
3852.0,3084.5758495751284
3393.0,2765.1926739076907
3040.0,2539.272813370295
2752.0,2386.2994564741352
2546.0,2238.127635943995
2429.0,2128.5095591742775
2337.0,2177.149523091523
2302.0,2320.38254973936
2323.0,2351.651818203739
2287.0,2270.222915745876
2167.0,2191.393781613504
2069.0,2039.27661747532
1978.0,1955.320528922359
1909.0,1864.7301295529319
1861.0,1857.6935023940373
1857.0,1950.0785349633452
1920.0,2132.297819581409
2145.0,2249.308897063657
2407.0,2512.833714823907
2704.0,2702.0842976821914
3408.0,3101.7221800654156
4195.0,3696.726465070063
4587.0,3993.899169454976
4709.0,4148.817095881052
4613.0,4193.736072705808
4339.0,3994.3871284978463
3913.0,3450.4790289733273
3463.0,3076.168439527833
3115.0,2786.052321664234
2849.0,2543.712111611775
2613.0,2373.656308497272
2484.0,2243.322335485519
2466.0,2220.4587914931617
2620.0,2174.1132792788903
2857.0,2275.0598476801183
3157.0,2634.765042606369
3651.0,3136.2827570849986
4492.0,4029.5867122541845
5334.0,4589.756821494084
5874.0,5139.017882032177
6136.0,5333.550812645938
5908.0,5301.379870282902
5468.0,4802.12378967519
5015.0,4339.661742479671
4588.0,3968.1381020432727
4141.0,3646.8315323957427
3736.0,3279.90812757763
3432.0,3043.124551804965
3180.0,2833.777673378383
2965.0,2674.9116181481277
2781.0,2543.319718612286
2639.0,2375.5376178586293
2523.0,2302.8196512279937
2439.0,2188.3999682072626
2361.0,2124.492172286998
2347.0,2085.8596149346113
2375.0,2212.6800397105667
2456.0,2220.60069694142
2577.0,2351.558213015096
2819.0,2545.857005148725
3166.0,2973.959579094067
3436.0,3156.9547047691017
3478.0,3069.6093914125013
3320.0,2785.3824029634707
3114.0,2644.4012096506335
2960.0,2565.7127158697526
2823.0,2538.2371987155493
2821.0,2426.094788112755
2853.0,2285.9798418382334
2736.0,2217.8335357965984
2562.0,2093.904193135486
2393.0,2069.524606954398
2264.0,2059.998574915123
2162.0,2056.812358462921
2087.0,1959.786536192382
2007.0,1867.7868931362639
1949.0,1819.7684036351632
1889.0,1717.5819935350273
1832.0,1653.1630028064326
1787.0,1621.1949074153376
1748.0,1595.1563386032508
1715.0,1498.5831644960917
1702.0,1447.727778333166
1658.0,1438.633675810536
1616.0,1403.1613856153203
1591.0,1419.7629296281984
1561.0,1442.0087695211068
1541.0,1428.082396530804
1528.0,1406.3578165827269
1507.0,1404.456377003791
1490.0,1372.202907698133
